essround,idno,gndr,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,hincfel,grdfinc,gvctzpv,cntry,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk
10,10021,Mees,30,Iga päev,180,3,5,6,Saame hakkama praeguse sissetuleku juures,10,NA,EE,8,Mitu korda nädalas,2,NA,Ei,väga turvaliselt
10,10029,Mees,30,Iga päev,60,2,5,5,Saame hakkama praeguse sissetuleku juures,3,6,EE,7,Vähem kui kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,10037,Mees,10,Iga päev,480,6,7,3,Saame hakkama praeguse sissetuleku juures,8,8,EE,8,Mitu korda nädalas,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10047,Mees,90,Iga päev,120,7,8,6,Elame mugavalt praeguse sissetuleku juures,8,8,EE,10,Mitu korda nädalas,10 või enam,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10058,Naine,180,Enamikul päevadel,60,6,8,8,Saame hakkama praeguse sissetuleku juures,8,7,EE,7,Vähem kui kord kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10084,Naine,1200,Iga päev,300,0,0,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,8,Kord nädalas,1,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,10087,Naine,60,Ainult aeg-ajalt,NA,6,8,8,Saame hakkama praeguse sissetuleku juures,10,10,EE,7,Kord kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10129,Naine,90,Ainult aeg-ajalt,NA,8,7,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,7,Mitu korda kuus,3,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10151,Mees,60,Iga päev,120,4,5,8,Elame mugavalt praeguse sissetuleku juures,7,8,EE,7,Kord nädalas,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10204,Mees,15,Iga päev,90,5,6,6,Saame hakkama praeguse sissetuleku juures,8,6,EE,8,Mitu korda kuus,3,Sagedamini kui enamik eakaaslasi,Jah,väga turvaliselt
10,10211,Naine,30,Iga päev,60,8,9,8,Saame hakkama praeguse sissetuleku juures,0,10,EE,10,Vähem kui kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10228,Mees,120,Mitte kunagi,NA,2,3,2,Praeguse sissetuleku juures on raske hakkama saada,5,5,EE,6,Kord kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10229,Naine,0,Mitte kunagi,NA,7,7,7,Saame hakkama praeguse sissetuleku juures,5,5,EE,8,Kord nädalas,1,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10253,Mees,120,Mitte kunagi,NA,6,6,4,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,7,Vähem kui kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10257,Naine,120,Iga päev,300,5,5,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,7,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10272,Mees,60,Iga päev,90,8,7,7,Elame mugavalt praeguse sissetuleku juures,9,10,EE,9,Iga päev,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10284,Mees,20,Iga päev,120,6,5,6,Saame hakkama praeguse sissetuleku juures,3,5,EE,8,Mitu korda kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10287,Naine,60,Iga päev,180,5,5,7,Elame mugavalt praeguse sissetuleku juures,5,7,EE,10,Mitu korda nädalas,4-6,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10290,Mees,60,Iga päev,480,6,6,6,Saame hakkama praeguse sissetuleku juures,8,8,EE,9,Kord kuus,3,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,10336,Naine,90,Ainult aeg-ajalt,NA,6,6,6,Saame hakkama praeguse sissetuleku juures,9,9,EE,7,Kord nädalas,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10353,Naine,20,Iga päev,360,2,2,0,Saame hakkama praeguse sissetuleku juures,7,8,EE,6,Mitu korda kuus,4-6,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,10357,Naine,60,Mõni kord nädalas,NA,5,7,3,Saame hakkama praeguse sissetuleku juures,3,2,EE,6,Kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10370,Mees,45,Mitte kunagi,NA,5,5,5,Saame hakkama praeguse sissetuleku juures,10,9,EE,8,Vähem kui kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10371,Mees,60,Iga päev,300,2,3,5,Praeguse sissetuleku juures on väga raske hakkama saada,9,9,EE,5,Mitu korda kuus,3,Palju harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,10377,Mees,2,Iga päev,120,6,4,4,Praeguse sissetuleku juures on raske hakkama saada,0,10,EE,7,Vähem kui kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10378,Mees,30,Iga päev,600,7,5,5,Elame mugavalt praeguse sissetuleku juures,10,10,EE,8,Mitu korda nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,10384,Naine,30,Iga päev,60,1,3,2,Praeguse sissetuleku juures on raske hakkama saada,7,9,EE,8,Iga päev,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10385,Naine,60,Iga päev,120,7,8,5,Saame hakkama praeguse sissetuleku juures,7,7,EE,9,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10391,Mees,20,Iga päev,NA,5,6,6,Elame mugavalt praeguse sissetuleku juures,3,4,EE,8,Mitu korda kuus,2,Umbes sama tihti kui enamik eakaaslasi,Jah,väga turvaliselt
10,10407,Naine,30,Iga päev,660,8,8,7,Elame mugavalt praeguse sissetuleku juures,9,10,EE,8,Mitu korda nädalas,3,Palju sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,10431,Mees,60,Mitte kunagi,NA,5,5,5,Saame hakkama praeguse sissetuleku juures,6,8,EE,7,Mitu korda kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10433,Mees,10,Iga päev,540,0,0,0,Saame hakkama praeguse sissetuleku juures,6,10,EE,8,Kord nädalas,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10440,Mees,30,Enamikul päevadel,60,9,9,8,Elame mugavalt praeguse sissetuleku juures,10,10,EE,10,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
