essround,idno,gndr,hincfel,grdfinc,gvctzpv,cntry
10,10021,Mees,Coping on present income,10,NA,EE
10,10029,Mees,Coping on present income,3,6,EE
10,10037,Mees,Coping on present income,8,8,EE
10,10047,Mees,Living comfortably on present income,8,8,EE
10,10058,Naine,Coping on present income,8,7,EE
10,10084,Naine,Difficult on present income,10,10,EE
10,10087,Naine,Coping on present income,10,10,EE
10,10129,Naine,Difficult on present income,10,10,EE
10,10151,Mees,Living comfortably on present income,7,8,EE
10,10204,Mees,Coping on present income,8,6,EE
10,10211,Naine,Coping on present income,0,10,EE
10,10228,Mees,Difficult on present income,5,5,EE
10,10229,Naine,Coping on present income,5,5,EE
10,10253,Mees,Difficult on present income,10,10,EE
10,10257,Naine,Coping on present income,10,10,EE
10,10272,Mees,Living comfortably on present income,9,10,EE
10,10284,Mees,Coping on present income,3,5,EE
10,10287,Naine,Living comfortably on present income,5,7,EE
10,10290,Mees,Coping on present income,8,8,EE
10,10336,Naine,Coping on present income,9,9,EE
10,10353,Naine,Coping on present income,7,8,EE
10,10357,Naine,Coping on present income,3,2,EE
10,10370,Mees,Coping on present income,10,9,EE
10,10371,Mees,Very difficult on present income,9,9,EE
10,10377,Mees,Difficult on present income,0,10,EE
10,10378,Mees,Living comfortably on present income,10,10,EE
10,10384,Naine,Difficult on present income,7,9,EE
10,10385,Naine,Coping on present income,7,7,EE
10,10391,Mees,Living comfortably on present income,3,4,EE
10,10407,Naine,Living comfortably on present income,9,10,EE
10,10431,Mees,Coping on present income,6,8,EE
10,10433,Mees,Coping on present income,6,10,EE
10,10440,Mees,Living comfortably on present income,10,10,EE
10,10451,Naine,Difficult on present income,9,9,EE
10,10456,Naine,Living comfortably on present income,2,10,EE
10,10468,Mees,Coping on present income,5,6,EE
10,10498,Naine,Coping on present income,7,NA,EE
10,10499,Naine,Coping on present income,10,8,EE
10,10503,Naine,Living comfortably on present income,8,8,EE
10,10554,Mees,Coping on present income,8,8,EE
10,10563,Naine,Living comfortably on present income,6,10,EE
10,10568,Mees,Coping on present income,8,9,EE
10,10591,Mees,Living comfortably on present income,9,9,EE
10,10594,Naine,Living comfortably on present income,9,10,EE
10,10600,Naine,Coping on present income,6,6,EE
10,10620,Naine,Coping on present income,10,10,EE
10,10636,Naine,Coping on present income,9,9,EE
10,10659,Mees,Living comfortably on present income,7,6,EE
10,10686,Mees,Coping on present income,3,7,EE
10,10697,Mees,Coping on present income,4,5,EE
10,10700,Mees,Very difficult on present income,6,8,EE
10,10711,Mees,Coping on present income,10,10,EE
10,10718,Mees,Living comfortably on present income,8,10,EE
10,10736,Mees,Living comfortably on present income,10,10,EE
10,10752,Mees,Living comfortably on present income,3,6,EE
10,10764,Mees,Coping on present income,10,10,EE
10,10796,Naine,Living comfortably on present income,6,8,EE
10,10797,Naine,Coping on present income,5,5,EE
10,10810,Mees,Difficult on present income,10,10,EE
10,10823,Naine,Coping on present income,8,3,EE
10,10835,Naine,Difficult on present income,6,10,EE
10,10844,Mees,Coping on present income,7,7,EE
10,10845,Naine,Coping on present income,9,9,EE
10,10863,Mees,Coping on present income,10,10,EE
10,10878,Naine,Difficult on present income,10,10,EE
10,10918,Naine,Living comfortably on present income,4,4,EE
10,10922,Mees,Living comfortably on present income,7,10,EE
10,10933,Naine,Living comfortably on present income,10,6,EE
10,10941,Mees,Living comfortably on present income,4,2,EE
10,10942,Mees,Coping on present income,6,6,EE
10,10950,Naine,Coping on present income,10,10,EE
10,10951,Naine,Coping on present income,6,9,EE
10,10954,Naine,Difficult on present income,10,10,EE
10,10965,Mees,Coping on present income,10,10,EE
10,10990,Naine,Coping on present income,10,10,EE
10,10991,Mees,Coping on present income,5,5,EE
10,11004,Mees,Coping on present income,2,4,EE
10,11024,Naine,Living comfortably on present income,10,3,EE
10,11059,Naine,Living comfortably on present income,8,8,EE
10,11076,Mees,Coping on present income,6,8,EE
10,11078,Naine,Coping on present income,6,9,EE
10,11087,Naine,Difficult on present income,9,9,EE
10,11102,Mees,Coping on present income,8,9,EE
10,11109,Mees,Coping on present income,9,10,EE
10,11110,Mees,Difficult on present income,5,9,EE
10,11115,Mees,Living comfortably on present income,4,2,EE
10,11149,Mees,Living comfortably on present income,7,10,EE
10,11151,Mees,Living comfortably on present income,10,4,EE
10,11155,Naine,Coping on present income,8,10,EE
10,11157,Naine,Coping on present income,8,9,EE
10,11168,Naine,Living comfortably on present income,5,5,EE
